Vertice,Pai,Nivel
1,-1,0
2,2778,343
3,3361,4
4,4840,36
5,2998,1010
6,475,44
7,2995,695
8,96,661
9,9880,1060
10,8308,345
11,5847,143
12,2916,973
13,9588,1126
14,5303,453
15,9454,971
16,9523,22
17,5879,249
18,1785,35
19,8851,27
20,9071,228
21,6099,741
22,8557,393
23,3350,240
24,6747,355
25,2011,663
26,2296,443
27,8472,131
28,3426,179
29,6766,12
30,477,219
31,2156,71
32,2845,341
33,1986,506
34,3219,1070
35,6402,39
36,9227,543
37,40,130
38,4916,203
39,5111,191
40,6906,129
41,706,466
42,7619,1075
43,5947,7
44,413,419
45,7290,177
46,9771,492
47,3226,806
48,4848,105
49,9523,22
50,4463,557
51,1945,598
52,2786,76
53,3227,146
54,5078,126
55,8708,233
56,1035,420
57,5932,84
58,9521,658
59,8048,908
60,6369,777
61,5702,312
62,3962,1155
63,1840,563
64,1169,336
65,8725,128
66,6947,127
67,7280,315
68,5582,810
69,3608,78
70,8407,436
71,4426,513
72,4763,519
73,5767,482
74,9771,492
75,3468,123
76,3867,195
77,9119,450
78,2845,341
79,7535,211
80,8834,585
81,4916,203
82,1810,121
83,863,367
84,552,862
85,7288,280
86,2356,303
87,5155,921
88,1474,77
89,9464,88
90,1286,222
91,9333,56
92,9764,69
93,3527,31
94,3550,571
95,4738,520
96,6646,660
97,703,74
98,94,572
99,6752,1029
100,5229,209
101,9941,1025
102,1327,152
103,8849,404
104,7624,138
105,4254,1136
106,8274,732
107,8523,221
108,5031,37
109,8232,94
110,4598,867
111,5870,65
112,3166,533
113,8059,125
114,4635,682
115,4412,605
116,7529,776
117,634,641
118,8301,199
119,8334,100
120,2299,501
121,1946,378
122,5676,90
123,3310,43
124,8105,414
125,5078,126
126,1924,370
127,7154,174
128,4848,105
129,3764,1160
130,9417,499
131,3083,58
132,3989,200
133,410,236
134,6424,64
135,8539,596
136,8523,221
137,2562,157
138,322,140
139,3166,533
140,5615,653
141,6205,227
142,2691,874
143,646,433
144,6584,626
145,5427,892
146,9349,91
147,5610,212
148,1,1
149,7346,11
150,6088,1097
151,2712,1057
152,9462,383
153,8308,345
154,8906,470
155,6819,465
156,8849,404
157,3827,744
158,4075,48
159,4075,48
160,6807,538
161,5971,552
162,8185,92
163,6402,39
164,8522,266
165,9944,18
166,1437,347
167,3156,425
168,6801,118
169,8981,2
170,9722,1156
171,1571,8
172,4178,207
173,4348,451
174,1161,1076
175,1867,285
176,26,444
177,5008,1059
178,2277,924
179,9944,18
180,8981,2
181,3333,1171
182,6992,1123
183,3295,528
184,1817,114
185,8906,470
186,2982,293
187,2057,297
188,9849,220
189,8692,469
190,3034,745
191,1616,716
192,3962,1155
193,8539,596
194,3274,231
195,488,178
196,3525,749
197,2057,297
198,7244,164
199,7693,1014
200,9640,458
201,3521,83
202,7044,279
203,7154,174
204,8550,553
205,6197,352
206,3468,123
207,4432,184
208,507,1177
209,7550,719
210,1721,1178
211,5582,810
212,3474,431
213,8169,738
214,5072,991
215,9876,226
216,262,1158
217,3310,43
218,9119,450
219,2674,278
220,5986,460
221,1234,339
222,4459,445
223,6041,1199
224,7140,204
225,4308,289
226,7818,380
227,6121,95
228,863,367
229,9694,229
230,2435,25
231,1194,359
232,6431,97
233,7244,164
234,808,390
235,5182,825
236,9104,827
237,6954,416
238,5900,215
239,2845,341
240,2415,1151
241,1262,137
242,4635,682
243,4092,800
244,3786,218
245,1131,317
246,6100,333
247,837,348
248,5932,84
249,3268,503
250,7280,315
251,4081,299
252,4485,167
253,6634,632
254,4474,306
255,3101,797
256,4984,746
257,609,994
258,5396,230
259,7700,116
260,7386,1001
261,3521,83
262,170,1157
263,1991,158
264,6747,355
265,2918,853
266,4848,105
267,2738,579
268,1810,121
