Vertice,Pai,Nivel
414,-1,-1
415,-1,-1
416,68070,15
417,176014,10
418,-1,-1
419,-1,-1
420,-1,-1
421,-1,-1
422,14652,12
423,-1,-1
424,18770,12
425,-1,-1
426,-1,-1
427,-1,-1
428,-1,-1
429,-1,-1
430,263282,13
431,-1,-1
432,-1,-1
433,-1,-1
434,-1,-1
435,83931,13
436,-1,-1
437,-1,-1
438,113473,12
439,21401,12
440,64334,10
441,106599,10
442,63615,12
443,-1,-1
444,240728,14
445,-1,-1
446,-1,-1
447,310140,11
448,-1,-1
449,-1,-1
450,-1,-1
451,215057,10
452,-1,-1
453,-1,-1
454,-1,-1
455,-1,-1
456,153451,12
457,251120,13
458,371801,13
459,-1,-1
460,-1,-1
461,-1,-1
462,93574,13
463,-1,-1
464,272142,11
465,-1,-1
466,112018,14
467,-1,-1
468,-1,-1
469,-1,-1
470,-1,-1
471,-1,-1
472,308244,12
473,-1,-1
474,250662,11
475,-1,-1
476,-1,-1
477,-1,-1
478,132774,15
479,-1,-1
480,-1,-1
481,-1,-1
482,12547,9
483,-1,-1
484,264447,11
485,67735,14
486,-1,-1
487,-1,-1
488,-1,-1
489,-1,-1
490,171336,10
491,-1,-1
492,-1,-1
493,-1,-1
494,-1,-1
495,110871,14
496,-1,-1
497,-1,-1
498,145582,13
499,-1,-1
500,-1,-1
501,-1,-1
502,176730,11
503,-1,-1
504,-1,-1
505,51603,13
506,9496,12
507,311967,11
508,96905,12
509,-1,-1
510,-1,-1
511,-1,-1
512,-1,-1
513,269012,12
514,-1,-1
515,-1,-1
516,-1,-1
517,13936,12
518,-1,-1
519,201325,11
520,7878,13
521,144371,11
522,-1,-1
523,-1,-1
524,44906,11
525,-1,-1
526,-1,-1
527,-1,-1
528,-1,-1
529,-1,-1
530,-1,-1
531,-1,-1
532,-1,-1
533,48032,10
534,-1,-1
535,218626,9
536,-1,-1
537,136106,12
538,-1,-1
539,-1,-1
540,-1,-1
541,236324,10
542,-1,-1
543,-1,-1
544,-1,-1
545,-1,-1
546,-1,-1
547,310121,12
548,-1,-1
549,-1,-1
550,15448,9
551,40802,14
552,-1,-1
553,313399,14
554,367126,12
555,-1,-1
556,-1,-1
557,-1,-1
558,-1,-1
559,-1,-1
560,-1,-1
561,-1,-1
562,-1,-1
563,-1,-1
564,-1,-1
565,-1,-1
566,-1,-1
567,-1,-1
568,-1,-1
569,151326,11
570,-1,-1
571,-1,-1
572,-1,-1
573,-1,-1
574,-1,-1
575,160047,13
576,-1,-1
577,-1,-1
578,204724,11
579,-1,-1
580,-1,-1
581,-1,-1
582,-1,-1
583,-1,-1
584,-1,-1
585,-1,-1
586,-1,-1
587,-1,-1
588,365329,12
589,-1,-1
590,-1,-1
591,168974,14
592,310304,9
593,-1,-1
594,340371,11
595,78180,9
596,-1,-1
597,59838,16
598,69297,8
599,-1,-1
600,-1,-1
601,363009,13
602,-1,-1
603,-1,-1
604,77078,10
605,-1,-1
606,135596,12
607,-1,-1
608,230913,13
609,-1,-1
