Vertice,Pai,Nivel
399,112523,3812
400,72918,30818
401,192198,39682
402,-1,-1
403,-1,-1
404,-1,-1
405,-1,-1
406,-1,-1
407,-1,-1
408,-1,-1
409,-1,-1
410,249027,19222
411,-1,-1
412,-1,-1
413,-1,-1
414,-1,-1
415,-1,-1
416,68070,17654
417,374856,40290
418,-1,-1
419,-1,-1
420,-1,-1
421,-1,-1
422,14652,32536
423,-1,-1
424,63449,1923
425,-1,-1
426,-1,-1
427,-1,-1
428,-1,-1
429,-1,-1
430,46387,25463
431,-1,-1
432,-1,-1
433,-1,-1
434,-1,-1
435,151850,36175
436,-1,-1
437,-1,-1
438,316759,27272
439,193134,8841
440,76531,25898
441,315323,2446
442,63615,34950
443,-1,-1
444,289584,29728
445,-1,-1
446,-1,-1
447,310140,33108
448,-1,-1
449,-1,-1
450,-1,-1
451,164880,8229
452,-1,-1
453,-1,-1
454,-1,-1
455,-1,-1
456,203865,3111
457,251120,34706
458,285980,17826
459,-1,-1
460,-1,-1
461,-1,-1
462,93574,25863
463,-1,-1
464,19277,9905
465,-1,-1
466,187317,18040
467,-1,-1
468,-1,-1
469,-1,-1
470,-1,-1
471,-1,-1
472,308244,34035
473,-1,-1
474,250662,30825
475,-1,-1
476,-1,-1
477,-1,-1
478,132774,29079
479,-1,-1
480,-1,-1
481,-1,-1
482,323014,38900
483,-1,-1
484,264447,25504
485,67735,35502
486,-1,-1
487,-1,-1
488,-1,-1
489,-1,-1
490,171336,19569
491,-1,-1
492,-1,-1
493,-1,-1
494,-1,-1
495,203327,38443
496,-1,-1
497,-1,-1
498,145582,40693
499,-1,-1
500,-1,-1
501,-1,-1
502,176730,38889
503,-1,-1
504,-1,-1
505,15622,40549
506,9496,14112
507,367102,36631
508,96905,16909
509,-1,-1
510,-1,-1
511,-1,-1
512,-1,-1
513,165188,28579
514,-1,-1
515,-1,-1
516,-1,-1
517,244712,24433
518,-1,-1
519,216889,9470
520,7878,34862
521,249705,6507
522,-1,-1
523,-1,-1
524,134951,39797
525,-1,-1
526,-1,-1
527,-1,-1
528,-1,-1
529,-1,-1
530,-1,-1
531,-1,-1
532,-1,-1
533,336066,29574
534,-1,-1
535,218626,25060
536,-1,-1
537,9470,15713
538,-1,-1
539,-1,-1
540,-1,-1
541,104609,7696
542,-1,-1
543,-1,-1
544,-1,-1
545,-1,-1
546,-1,-1
547,310121,11674
548,-1,-1
549,-1,-1
550,15448,15554
551,94491,39600
552,-1,-1
553,313399,35180
554,137988,37693
555,-1,-1
556,-1,-1
557,-1,-1
558,-1,-1
559,-1,-1
560,-1,-1
561,-1,-1
562,-1,-1
563,-1,-1
564,-1,-1
565,-1,-1
566,-1,-1
567,-1,-1
568,-1,-1
569,223703,6232
570,-1,-1
571,-1,-1
572,-1,-1
573,-1,-1
574,-1,-1
575,141423,9221
576,-1,-1
577,-1,-1
578,204724,34522
579,-1,-1
580,-1,-1
581,-1,-1
582,-1,-1
583,-1,-1
584,-1,-1
585,-1,-1
586,-1,-1
587,-1,-1
588,365329,34600
589,-1,-1
590,-1,-1
591,168974,30973
592,353528,35608
593,-1,-1
594,236045,37233
595,182917,3541
596,-1,-1
597,302576,18885
598,69297,39225
599,-1,-1
600,-1,-1
601,239594,39702
602,-1,-1
603,-1,-1
604,40231,36187
605,-1,-1
606,158666,23153
607,-1,-1
608,282563,23937
609,-1,-1
610,-1,-1
611,-1,-1
612,-1,-1
613,-1,-1
614,78608,10482
615,-1,-1
616,-1,-1
617,-1,-1
618,-1,-1
619,254630,26193
620,145064,7327
621,-1,-1
622,-1,-1
623,-1,-1
624,82756,34064
625,-1,-1
626,-1,-1
627,-1,-1
628,-1,-1
629,251541,9716
630,132780,18758
631,-1,-1
632,200748,39649
633,15696,40478
634,-1,-1
635,-1,-1
636,-1,-1
637,328843,31837
638,259689,28645
639,-1,-1
640,-1,-1
641,-1,-1
642,246109,27219
643,92381,32149
644,48122,40704
645,-1,-1
646,170796,8246
647,243349,37857
648,-1,-1
649,-1,-1
650,91652,2111
651,56735,32263
652,298876,28045
653,7821,37969
654,-1,-1
655,-1,-1
656,-1,-1
657,-1,-1
658,53469,36284
659,-1,-1
660,364125,5960
661,-1,-1
662,-1,-1
663,-1,-1
664,-1,-1
665,-1,-1
666,-1,-1
667,-1,-1
668,152699,28458
669,-1,-1
670,-1,-1
671,-1,-1
672,-1,-1
673,-1,-1
674,-1,-1
675,86479,36457
676,322616,31024
677,-1,-1
678,-1,-1
679,-1,-1
680,-1,-1
681,346265,40220
682,92904,25014
683,-1,-1
684,261616,33047
685,-1,-1
686,-1,-1
687,-1,-1
688,67707,2695
689,294905,21930
690,-1,-1
691,6128,2248
692,-1,-1
693,-1,-1
694,-1,-1
695,-1,-1
696,-1,-1
697,-1,-1
698,-1,-1
699,-1,-1
700,294473,25994
701,216338,18169
702,-1,-1
703,19788,22402
704,123193,11390
705,-1,-1
706,211647,2298
707,200287,37402
708,-1,-1
709,-1,-1
710,-1,-1
711,-1,-1
712,-1,-1
713,-1,-1
714,-1,-1
715,-1,-1
716,-1,-1
717,-1,-1
718,-1,-1
719,160538,13390
720,-1,-1
721,-1,-1
722,366347,35892
723,-1,-1
724,-1,-1
725,63766,40668
726,-1,-1
727,-1,-1
728,-1,-1
729,-1,-1
730,54253,16207
731,-1,-1
732,-1,-1
733,-1,-1
734,264783,16659
735,-1,-1
736,250452,33698
737,-1,-1
738,260745,8336
739,-1,-1
740,235754,3251
741,5717,39334
742,-1,-1
743,-1,-1
744,-1,-1
745,-1,-1
746,-1,-1
747,-1,-1
748,317818,30521
749,-1,-1
750,333662,32481
751,-1,-1
752,-1,-1
753,109188,9770
754,-1,-1
755,-1,-1
756,-1,-1
757,-1,-1
758,-1,-1
759,281411,21391
760,-1,-1
761,-1,-1
762,-1,-1
763,-1,-1
764,271892,4443
765,266847,37097
766,336979,26625
767,-1,-1
768,349754,33244
769,-1,-1
770,-1,-1
771,278247,29879
772,220204,1078
773,289514,21166
774,-1,-1
775,335897,4322
776,-1,-1
