Vertice,Pai,Nivel
1,-1,0
2,-1,-1
3,-1,-1
4,-1,-1
5,366993,9541
6,238416,3104
7,-1,-1
8,8946,56
9,-1,-1
10,362748,4408
11,109210,168
12,-1,-1
13,86738,10654
14,197717,6753
15,-1,-1
16,-1,-1
17,82533,13790
18,-1,-1
19,158285,1843
20,154745,5545
21,240344,1152
22,263422,15988
23,231916,2255
24,-1,-1
25,77504,5629
26,206230,1907
27,-1,-1
28,342648,1480
29,-1,-1
30,1531,1499
31,-1,-1
32,119024,6213
33,146263,5381
34,219714,409
35,-1,-1
36,278160,6891
37,1376,9235
38,259017,1099
39,-1,-1
40,-1,-1
41,373373,8421
42,-1,-1
43,135377,4742
44,134470,2825
45,262360,506
46,173484,1659
47,-1,-1
48,-1,-1
49,-1,-1
50,56985,1315
51,-1,-1
52,11413,1538
53,-1,-1
54,344402,1024
55,132155,2557
56,45912,4361
57,292351,1089
58,124230,1197
59,-1,-1
60,107789,474
61,-1,-1
62,-1,-1
63,355458,511
64,338534,7207
65,265786,3643
66,13432,5729
67,9582,377
68,110809,2943
69,62919,560
70,-1,-1
71,140944,5846
72,291101,4563
73,-1,-1
74,-1,-1
75,115579,842
76,-1,-1
77,192483,5999
78,58458,2873
79,152562,3448
80,46744,5239
81,302137,3736
82,271402,1653
83,288194,4835
84,-1,-1
85,-1,-1
86,-1,-1
87,72787,3231
88,234328,173
89,269767,2135
90,269870,1643
91,-1,-1
92,45361,286
93,286818,13940
94,-1,-1
95,257617,408
96,204800,3781
97,312804,33
98,-1,-1
99,-1,-1
100,81189,281
101,-1,-1
102,223833,9211
103,-1,-1
104,219991,4198
105,89390,6133
106,-1,-1
107,223252,11056
108,101043,2579
109,-1,-1
110,-1,-1
111,-1,-1
112,-1,-1
113,119867,3889
114,107795,16025
115,134612,2069
116,239063,1674
117,-1,-1
118,-1,-1
119,-1,-1
120,-1,-1
121,359824,2303
122,281902,1455
123,328774,16616
124,-1,-1
125,96447,111
126,289935,4863
127,18031,1437
128,-1,-1
129,-1,-1
