Vertice,Pai,Nivel
1,-1,0
2,-1,-1
3,-1,-1
4,-1,-1
5,344337,4
6,41227,4
7,-1,-1
8,158522,4
9,-1,-1
10,194465,4
11,16806,3
12,-1,-1
13,132151,4
14,178919,3
15,-1,-1
16,-1,-1
17,203452,3
18,-1,-1
19,49809,3
20,274921,4
21,16246,3
22,34754,4
23,123948,3
24,-1,-1
25,143412,4
26,204398,4
27,-1,-1
28,77527,3
29,-1,-1
30,136244,3
31,-1,-1
32,293619,4
33,58117,4
34,175570,3
35,-1,-1
36,216221,4
37,308457,3
38,191584,3
39,-1,-1
40,-1,-1
41,224373,3
42,-1,-1
43,6986,4
44,37787,3
45,167499,3
46,99336,3
47,-1,-1
48,-1,-1
49,-1,-1
50,41635,3
51,-1,-1
52,276604,3
53,-1,-1
54,72839,3
55,357748,3
56,330381,4
57,163846,3
58,342220,3
59,-1,-1
60,102506,4
61,-1,-1
62,-1,-1
63,159329,4
64,81482,4
65,108154,3
66,188502,3
67,183970,4
68,79854,3
69,98517,2
70,-1,-1
71,55555,3
72,252270,4
73,-1,-1
74,-1,-1
75,85966,3
76,-1,-1
77,244580,4
78,78170,3
79,177502,4
80,242005,4
81,295208,4
82,283217,3
83,356548,4
84,-1,-1
85,-1,-1
86,-1,-1
87,133732,4
88,82906,4
89,15337,3
90,273793,4
91,-1,-1
92,125521,3
93,157812,4
94,-1,-1
95,20047,4
96,406,3
97,89898,4
98,-1,-1
99,-1,-1
100,150374,3
101,-1,-1
102,369541,3
103,-1,-1
104,346941,3
105,77537,3
106,-1,-1
107,220313,4
108,6986,4
109,-1,-1
110,-1,-1
111,-1,-1
112,-1,-1
113,228982,3
114,23750,4
115,121546,3
116,166622,4
117,-1,-1
118,-1,-1
119,-1,-1
120,-1,-1
121,148369,3
122,337321,3
123,187679,4
124,-1,-1
125,84735,4
126,28982,4
127,266268,3
128,-1,-1
129,-1,-1
130,321094,3
131,123631,3
132,355671,3
133,366537,4
134,178313,4
135,75509,4
136,12014,3
137,-1,-1
138,135731,3
